TradeKey,UserKey,AssetSymbol,AssetType,TradeDate,TradeType,Quantity,PriceUSD,TotalUSD,Exchange,Region
69,17,LINK,Crypto,2020-10-28,SELL,15.29,1563.81,23910.65,NYSE,Asia
70,1,USDC,Crypto,2023-07-06,BUY,2.674,40180.76,107443.35,Binance,Asia
71,18,AMZN,Stock,2024-07-16,BUY,38.529,1024.65,39478.74,NYSE,Asia
72,1,GOOGL,Stock,2020-08-14,BUY,28.004,1736.3,48623.35,NYSE,Asia
73,8,MSFT,Stock,2023-01-31,SELL,2.001,129.21,258.55,Coinbase,USA
74,8,XRP,Crypto,2022-09-26,SELL,24.341,51113.95,1244164.66,Binance,USA
75,20,SOL,Crypto,2023-08-14,BUY,35.36,23052.04,815120.13,NASDAQ,Asia
76,20,MSFT,Stock,2022-08-10,SELL,5.49,1708.02,9377.03,Coinbase,Asia
77,8,TRX,Crypto,2021-05-01,BUY,7.419,9080.61,67369.05,Kraken,USA
78,1,BNB,Crypto,2024-03-06,SELL,49.909,22343.95,1115164.2,Kraken,Asia
79,13,SOL,Crypto,2021-10-18,BUY,47.589,13312.24,633516.19,NASDAQ,USA
80,9,AAPL,Stock,2023-07-26,BUY,36.499,1427.19,52091.01,NASDAQ,Asia
81,2,MSFT,Stock,2021-08-13,SELL,31.842,622.84,19832.47,NASDAQ,Asia
82,7,DOGE,Crypto,2024-09-19,BUY,20.743,21887.12,454004.53,NYSE,USA
83,18,USDC,Crypto,2021-06-12,SELL,26.047,49068.52,1278087.74,Kraken,Asia
84,13,MSFT,Stock,2023-04-15,BUY,18.876,1367.65,25815.76,Binance,USA
85,11,MSFT,Stock,2024-08-08,SELL,41.551,303.16,12596.6,NASDAQ,Asia
86,13,XRP,Crypto,2022-04-18,SELL,36.371,57794.51,2102044.12,Binance,USA
87,19,BNB,Crypto,2021-07-20,SELL,22.748,55786.4,1269029.03,NYSE,USA
88,13,AAPL,Stock,2022-04-15,SELL,13.112,1800.09,23602.78,Kraken,USA
89,16,TSLA,Stock,2021-10-18,SELL,9.01,378.11,3406.77,Binance,Asia
90,1,LINK,Crypto,2023-10-02,SELL,47.905,36896.83,1767542.64,NYSE,Asia
91,6,DOGE,Crypto,2021-09-13,SELL,42.227,53658.77,2265848.88,NYSE,Asia
92,2,SOL,Crypto,2023-07-06,SELL,4.123,17739.61,73140.41,Kraken,Asia
93,7,USDC,Crypto,2024-02-07,SELL,5.835,38802.32,226411.54,Kraken,USA
94,13,AAPL,Stock,2020-12-30,SELL,32.378,421.68,13653.16,Kraken,USA
95,14,BNB,Crypto,2022-12-01,SELL,6.35,5111.5,32458.02,Coinbase,Asia
96,15,AAPL,Stock,2024-06-10,SELL,8.826,1180.9,10422.62,NYSE,Asia
97,8,USDC,Crypto,2022-08-06,SELL,19.004,3118.51,59264.16,NASDAQ,USA
98,20,AAPL,Stock,2023-08-28,BUY,19.889,1700.98,33830.79,Coinbase,Asia
99,18,LINK,Crypto,2022-04-07,SELL,48.207,16565.83,798588.97,Coinbase,Asia
100,14,MSFT,Stock,2021-07-14,BUY,15.327,368.27,5644.47,NYSE,Asia
101,1,LTC,Crypto,2021-09-12,BUY,35.691,39929.15,1425111.29,Kraken,Asia
102,4,AMZN,Stock,2022-12-11,BUY,12.275,804.89,9880.02,NASDAQ,Asia
103,4,TSLA,Stock,2021-12-12,BUY,39.133,20.19,790.1,Kraken,Asia
104,8,TSLA,Stock,2020-09-28,BUY,26.861,856.27,23000.27,NYSE,USA
105,5,MSFT,Stock,2022-07-09,BUY,11.542,690.96,7975.06,Binance,Asia
106,20,BTC,Crypto,2021-07-07,BUY,5.543,13649.71,75660.34,NASDAQ,Asia
107,10,TSLA,Stock,2023-07-31,BUY,48.325,1538.25,74335.93,NYSE,Asia
108,20,USDC,Crypto,2020-05-14,BUY,22.422,52804.48,1183982.05,Coinbase,Asia
109,19,DOGE,Crypto,2022-02-08,BUY,21.578,24101.77,520067.99,NASDAQ,USA
110,11,BTC,Crypto,2021-08-19,SELL,5.655,51888.52,293429.58,NYSE,Asia
111,16,SOL,Crypto,2021-08-31,BUY,41.348,17566.86,726354.53,NASDAQ,Asia
112,2,LTC,Crypto,2020-02-23,SELL,42.496,54922.9,2334003.56,Kraken,Asia
113,14,LTC,Crypto,2023-08-18,BUY,7.609,26509.84,201713.37,Kraken,Asia
114,10,TRX,Crypto,2024-07-01,SELL,39.31,314.75,12372.82,Coinbase,Asia
115,11,XRP,Crypto,2020-03-30,SELL,20.555,31602.25,649584.25,Binance,Asia
116,5,SOL,Crypto,2020-01-22,BUY,38.244,16683.35,638038.04,NASDAQ,Asia
117,1,BTC,Crypto,2020-03-24,SELL,1.539,35820.56,55127.84,Kraken,Asia
118,20,BNB,Crypto,2022-12-22,SELL,42.812,46953.97,2010193.36,NYSE,Asia
119,18,USDC,Crypto,2024-05-11,SELL,4.219,4595.65,19389.05,NYSE,Asia
120,12,TRX,Crypto,2023-10-30,SELL,13.763,312.58,4302.04,Binance,Asia
121,11,LINK,Crypto,2023-02-07,SELL,34.21,9426.65,322485.7,NASDAQ,Asia
122,17,GOOGL,Stock,2022-06-06,BUY,30.077,858.84,25831.33,NASDAQ,Asia
123,17,LTC,Crypto,2024-01-23,SELL,40.088,14909.48,597691.23,Coinbase,Asia
124,15,AMZN,Stock,2022-02-16,SELL,22.144,1475.83,32680.78,Kraken,Asia
125,8,BNB,Crypto,2021-07-07,BUY,6.486,5011.45,32504.26,NASDAQ,USA
126,9,ETH,Crypto,2022-09-01,SELL,35.618,50067.2,1783293.53,Coinbase,Asia
127,17,LTC,Crypto,2024-05-16,BUY,3.671,50070.32,183808.14,NYSE,Asia
128,15,LINK,Crypto,2022-01-25,SELL,37.924,13514.42,512520.86,NASDAQ,Asia
129,8,TSLA,Stock,2024-06-03,BUY,9.345,529.6,4949.11,Kraken,USA
130,7,TSLA,Stock,2022-08-05,SELL,29.92,954.98,28573,Coinbase,USA
131,5,AAPL,Stock,2021-04-10,SELL,7.82,846.09,6616.42,Kraken,Asia
132,11,ETH,Crypto,2021-09-02,SELL,37.199,3945.32,146761.96,Coinbase,Asia
133,8,TSLA,Stock,2024-09-23,BUY,10.728,1716.49,18414.5,Kraken,USA
134,16,TRX,Crypto,2020-12-03,SELL,14.53,35559.52,516679.83,Coinbase,Asia
135,12,LTC,Crypto,2024-08-23,BUY,28.544,17985.18,513368.98,Binance,Asia
136,16,LTC,Crypto,2023-08-06,BUY,30.963,27112.22,839475.67,Kraken,Asia
137,12,BNB,Crypto,2022-06-30,BUY,21.026,13422.15,282214.13,NASDAQ,Asia
138,17,LINK,Crypto,2023-04-28,SELL,39.786,48121.06,1914544.49,NASDAQ,Asia
139,12,AMZN,Stock,2020-06-01,BUY,27.143,1020.92,27710.83,Coinbase,Asia
140,18,LINK,Crypto,2021-09-25,BUY,32.195,17059,549214.51,NYSE,Asia
141,19,TRX,Crypto,2022-11-17,SELL,47.051,52823.99,2485421.55,Coinbase,USA
142,6,DOGE,Crypto,2023-01-30,BUY,4.432,4517.89,20023.29,Binance,Asia
143,7,BNB,Crypto,2023-09-15,SELL,5.822,11368.19,66185.6,Kraken,USA
144,10,DOGE,Crypto,2024-05-18,SELL,6.212,47599.77,295689.77,Kraken,Asia
145,2,DOGE,Crypto,2024-03-10,BUY,13.381,54319.61,726850.7,Kraken,Asia
146,4,TSLA,Stock,2020-04-30,SELL,30.349,1563.09,47438.22,Coinbase,Asia
147,13,SOL,Crypto,2023-02-07,SELL,20.87,14811.93,309124.98,Kraken,USA
148,3,BTC,Crypto,2022-06-17,BUY,23.412,7086.65,165912.65,Coinbase,Asia
149,15,ETH,Crypto,2020-12-06,SELL,43.36,50178.56,2175742.36,NYSE,Asia
150,1,USDC,Crypto,2022-03-07,BUY,26.121,5057.01,132094.16,Binance,Asia
151,16,TRX,Crypto,2020-06-17,SELL,22.771,1249.64,28455.55,NASDAQ,Asia
152,10,LTC,Crypto,2020-03-14,BUY,7.176,20569.29,147605.23,Binance,Asia
153,14,LINK,Crypto,2023-04-19,BUY,26.258,54883.81,1441139.08,NASDAQ,Asia
154,9,BTC,Crypto,2024-02-25,SELL,26.559,30920.48,821217.03,Kraken,Asia
155,5,BTC,Crypto,2020-06-15,SELL,5.403,6123.53,33085.43,NASDAQ,Asia
156,19,AMZN,Stock,2020-11-14,SELL,31.49,53.03,1669.91,Kraken,USA
157,10,DOGE,Crypto,2021-02-09,BUY,47.063,14867.06,699688.44,NYSE,Asia
158,5,LTC,Crypto,2022-09-05,SELL,27.387,35631.47,975839.07,Kraken,Asia
159,16,BNB,Crypto,2022-03-18,SELL,42.056,685.68,28836.96,NASDAQ,Asia
160,6,TRX,Crypto,2023-11-04,SELL,26.703,10257.58,273908.16,Coinbase,Asia
161,11,AMZN,Stock,2021-08-27,SELL,33.931,1829.84,62088.3,Coinbase,Asia
162,2,ETH,Crypto,2023-03-25,SELL,0.334,12887.18,4304.32,Coinbase,Asia
163,2,USDC,Crypto,2022-08-09,SELL,32.426,14322.04,464406.47,Kraken,Asia
164,1,ETH,Crypto,2020-07-21,BUY,28.9,43881.86,1268185.75,Binance,Asia
165,7,USDC,Crypto,2021-08-15,BUY,31.274,55123.92,1723945.47,NASDAQ,USA
166,17,BNB,Crypto,2023-08-17,BUY,4.132,43056.58,177909.79,NASDAQ,Asia
167,7,TRX,Crypto,2020-08-28,SELL,43.201,12154,525064.95,Kraken,USA
168,3,AAPL,Stock,2024-05-29,BUY,44.387,960.72,42643.48,Kraken,Asia
169,17,USDC,Crypto,2023-12-29,BUY,10.478,41569.32,435563.33,Binance,Asia
170,18,AAPL,Stock,2021-08-13,BUY,41.948,130.76,5485.12,Binance,Asia
171,13,AMZN,Stock,2021-09-15,BUY,32.234,894.78,28842.34,NASDAQ,USA
172,8,GOOGL,Stock,2021-07-06,SELL,29.682,1438.76,42705.27,NASDAQ,USA
173,4,LINK,Crypto,2020-02-19,BUY,28.221,4790.88,135203.42,Binance,Asia
174,1,LTC,Crypto,2024-09-10,SELL,17.082,58022.44,991139.32,Kraken,Asia
175,8,USDC,Crypto,2024-11-20,SELL,37.956,3873.53,147023.7,Binance,USA
176,9,AAPL,Stock,2020-08-08,SELL,21.401,1984.3,42466,Binance,Asia
177,7,BTC,Crypto,2020-01-19,SELL,9.354,28564.65,267193.74,NYSE,USA
178,10,TRX,Crypto,2024-10-09,SELL,21.216,6799.8,144264.56,Binance,Asia
179,13,TSLA,Stock,2024-04-18,BUY,35.667,517.94,18473.37,Coinbase,USA
180,6,TSLA,Stock,2023-09-12,BUY,17.259,731.32,12621.85,NASDAQ,Asia
181,19,TSLA,Stock,2021-09-18,BUY,14.205,1092.49,15518.82,Coinbase,USA
182,2,BNB,Crypto,2023-11-05,BUY,6.774,53922.9,365273.72,Binance,Asia
183,20,TSLA,Stock,2022-01-09,SELL,7.561,1545.67,11686.81,NASDAQ,Asia
184,19,BTC,Crypto,2023-08-13,SELL,35.503,17545.57,622920.37,Binance,USA
185,19,USDC,Crypto,2022-04-26,SELL,15.92,34675.65,552036.35,NASDAQ,USA
186,5,BTC,Crypto,2021-11-15,BUY,30.536,8556.26,261273.96,NASDAQ,Asia
187,12,BNB,Crypto,2021-07-06,SELL,1.808,55940.99,101141.31,Coinbase,Asia
188,20,DOGE,Crypto,2023-01-23,BUY,41.091,44845.08,1842729.18,Coinbase,Asia
189,19,USDC,Crypto,2021-07-20,SELL,40.029,44992.93,1801021.99,NASDAQ,USA
190,4,USDC,Crypto,2024-07-24,BUY,40.161,33370.3,1340184.62,Kraken,Asia
191,7,USDC,Crypto,2022-03-19,SELL,39.938,20099.46,802732.23,NASDAQ,USA
192,19,BTC,Crypto,2020-04-07,BUY,47.307,40547.54,1918182.47,NASDAQ,USA
193,10,BNB,Crypto,2023-07-19,BUY,47.3,22185.89,1049392.6,Binance,Asia
194,20,ETH,Crypto,2023-08-11,SELL,35.148,58609.46,2060005.3,NYSE,Asia
195,7,BNB,Crypto,2021-01-03,BUY,30.754,35740.68,1099168.87,NYSE,USA
196,7,TRX,Crypto,2021-02-08,SELL,26.344,26515.8,698532.24,NYSE,USA
197,15,XRP,Crypto,2020-09-29,BUY,16.565,11827.68,195925.52,NASDAQ,Asia
198,8,SOL,Crypto,2022-07-13,BUY,27.634,4496.8,124264.57,Kraken,USA
199,9,AAPL,Stock,2020-09-26,SELL,30.975,1337.84,41439.59,NYSE,Asia
200,16,BNB,Crypto,2021-02-07,SELL,23.281,27496.45,640144.85,Coinbase,Asia
201,11,MSFT,Stock,2023-02-18,BUY,35.223,1581.68,55711.51,Binance,Asia
202,10,SOL,Crypto,2020-10-04,SELL,1.88,13713.74,25781.83,Kraken,Asia
203,14,AMZN,Stock,2020-03-05,SELL,13.056,74.11,967.58,Binance,Asia
204,3,AMZN,Stock,2021-07-29,BUY,28.079,1866.22,52401.59,NYSE,Asia
205,8,MSFT,Stock,2020-02-17,SELL,42.045,222.52,9355.85,Kraken,USA
206,13,SOL,Crypto,2021-03-15,SELL,42.855,58983.23,2527726.32,Kraken,USA
207,3,GOOGL,Stock,2022-01-29,BUY,34.652,234.59,8129.01,NASDAQ,Asia
208,4,AAPL,Stock,2021-02-12,BUY,12.669,970.05,12289.56,NYSE,Asia
209,10,DOGE,Crypto,2020-09-07,BUY,40.216,57705.1,2320668.3,NASDAQ,Asia
210,6,BNB,Crypto,2020-07-01,BUY,34.005,25275.49,859493.04,Binance,Asia
211,6,LINK,Crypto,2020-10-30,SELL,39.78,11343.7,451252.39,NYSE,Asia
212,9,TSLA,Stock,2021-08-10,BUY,18.264,1480.78,27044.97,Kraken,Asia
213,4,AMZN,Stock,2023-03-29,SELL,27.755,139.52,3872.38,Coinbase,Asia
214,8,AMZN,Stock,2020-07-18,SELL,21.414,196.18,4201,Binance,USA
215,16,AMZN,Stock,2020-11-27,BUY,43.8,790.29,34614.7,Coinbase,Asia
216,17,AAPL,Stock,2021-08-17,BUY,4.571,1405.59,6424.95,Kraken,Asia
217,2,USDC,Crypto,2022-10-29,SELL,34.925,21144.67,738477.6,NYSE,Asia
218,16,TRX,Crypto,2023-01-16,BUY,44.582,41766.05,1862014.04,Kraken,Asia
219,13,AAPL,Stock,2023-07-09,BUY,27.846,1608.96,44803.1,Coinbase,USA
220,13,BNB,Crypto,2022-02-01,BUY,40.914,32891.5,1345722.83,NASDAQ,USA
221,3,MSFT,Stock,2020-07-03,SELL,0.952,918.54,874.45,Coinbase,Asia
222,6,GOOGL,Stock,2024-07-25,BUY,19.001,374.84,7122.33,NASDAQ,Asia
223,18,ETH,Crypto,2020-09-08,SELL,3.739,47563.2,177838.8,NASDAQ,Asia
224,20,MSFT,Stock,2023-04-18,SELL,15.645,733.33,11472.95,Coinbase,Asia
225,2,LINK,Crypto,2024-05-03,SELL,0.651,4244.04,2762.87,Kraken,Asia
226,9,GOOGL,Stock,2020-09-27,BUY,6.931,522.13,3618.88,NASDAQ,Asia
227,11,BNB,Crypto,2021-06-23,BUY,20.98,39592.55,830651.7,Kraken,Asia
228,9,LTC,Crypto,2021-08-21,BUY,34.407,2183.97,75143.86,Kraken,Asia
229,18,TRX,Crypto,2021-11-03,SELL,22.012,36644.18,806611.69,Kraken,Asia
230,1,AMZN,Stock,2022-03-12,SELL,33.168,1397.23,46343.32,Kraken,Asia
231,16,BNB,Crypto,2020-10-06,BUY,17.218,28325.46,487707.77,Coinbase,Asia
232,14,TRX,Crypto,2023-10-09,BUY,14.703,43828.58,644411.61,Coinbase,Asia
233,15,GOOGL,Stock,2022-05-08,SELL,1.042,1685.96,1756.77,NASDAQ,Asia
234,5,AAPL,Stock,2021-08-26,SELL,12.302,591.6,7277.86,NYSE,Asia
235,1,AMZN,Stock,2022-07-14,SELL,47.688,1553.24,74070.91,Coinbase,Asia
236,9,SOL,Crypto,2024-11-27,BUY,39.489,31333.56,1237330.95,Binance,Asia
237,11,AMZN,Stock,2024-05-22,BUY,48.264,1038.71,50132.3,Coinbase,Asia
238,8,LTC,Crypto,2022-06-17,BUY,35.381,18696.73,661509,NASDAQ,USA
239,4,SOL,Crypto,2023-11-24,BUY,25.863,6179.15,159811.36,Coinbase,Asia
240,15,TSLA,Stock,2024-04-19,SELL,39.979,183.23,7325.35,Binance,Asia
241,10,USDC,Crypto,2022-04-23,SELL,5.103,51685.72,263752.23,Coinbase,Asia
242,1,XRP,Crypto,2023-04-21,SELL,31.05,39998.84,1241963.98,NYSE,Asia
243,8,ETH,Crypto,2024-07-27,SELL,44.297,1944.34,86128.43,NASDAQ,USA
244,18,BNB,Crypto,2022-10-17,SELL,1.705,6761.34,11528.08,NYSE,Asia
245,2,TRX,Crypto,2023-06-01,SELL,32.85,47394.55,1556910.97,Coinbase,Asia
246,11,LINK,Crypto,2023-11-22,SELL,48.386,58645.48,2837620.2,Binance,Asia
247,8,LTC,Crypto,2020-02-08,BUY,10.512,7028.62,73884.85,Binance,USA
248,8,DOGE,Crypto,2021-02-05,BUY,42.634,10416,444075.74,Kraken,USA
249,10,LINK,Crypto,2022-06-18,SELL,16.964,2733.61,46372.96,Coinbase,Asia
250,19,XRP,Crypto,2021-01-05,BUY,35.064,19306.05,676947.34,Coinbase,USA
251,7,BNB,Crypto,2022-11-24,BUY,26.823,54998.92,1475236.03,Kraken,USA
252,7,LTC,Crypto,2021-12-02,BUY,32.626,50813.15,1657829.83,NASDAQ,USA
253,4,XRP,Crypto,2024-06-25,BUY,12.059,634.57,7652.28,NASDAQ,Asia
254,8,TRX,Crypto,2020-01-16,BUY,10.111,28818.72,291386.08,Binance,USA
255,5,AAPL,Stock,2021-01-08,SELL,46.872,944.32,44262.17,Kraken,Asia
256,13,TSLA,Stock,2022-05-14,SELL,9.299,943.31,8771.84,NASDAQ,USA
257,15,LINK,Crypto,2020-01-29,BUY,15.032,36914.26,554895.16,Binance,Asia
258,20,TSLA,Stock,2020-11-10,BUY,41.108,187.57,7710.63,Kraken,Asia
259,12,USDC,Crypto,2021-02-27,SELL,30.052,24397.33,733188.56,Kraken,Asia
260,8,BTC,Crypto,2020-12-17,BUY,2.875,54251.41,155972.8,Coinbase,USA
261,15,LINK,Crypto,2023-12-10,SELL,21.536,50561.5,1088892.46,Coinbase,Asia
262,12,ETH,Crypto,2022-07-21,BUY,39.702,22839.64,906779.39,Binance,Asia
263,7,AAPL,Stock,2024-03-23,SELL,33.186,1716.16,56952.49,NYSE,USA
264,13,LINK,Crypto,2021-07-21,SELL,14.064,10017.72,140889.21,Binance,USA
265,6,SOL,Crypto,2022-07-12,BUY,45.649,41287.42,1884729.44,Binance,Asia
266,11,DOGE,Crypto,2023-01-20,SELL,28.857,8587.36,247805.45,Kraken,Asia
267,15,TRX,Crypto,2022-11-04,BUY,38.425,8671.05,333185.1,NASDAQ,Asia
268,11,XRP,Crypto,2020-06-03,SELL,37.98,51573.23,1958751.28,NYSE,Asia
269,6,DOGE,Crypto,2021-11-13,SELL,48.126,45046.8,2167922.3,Binance,Asia
270,11,LTC,Crypto,2024-04-01,BUY,38.603,38445.38,1484107,NASDAQ,Asia
271,19,GOOGL,Stock,2023-04-08,BUY,7.783,1150.98,8958.08,Binance,USA
272,14,XRP,Crypto,2023-10-11,SELL,25.29,47476.7,1200685.74,NASDAQ,Asia
273,5,AAPL,Stock,2023-09-19,BUY,30.726,517.13,15889.34,NYSE,Asia
274,13,LTC,Crypto,2020-01-01,BUY,27.261,41011.63,1118018.05,Binance,USA
275,7,LINK,Crypto,2022-08-07,SELL,6.023,15202.69,91565.8,Binance,USA
276,13,XRP,Crypto,2020-05-25,BUY,29.596,53973.13,1597388.76,Coinbase,USA
277,3,LINK,Crypto,2022-10-17,BUY,24.182,42007.69,1015829.96,Coinbase,Asia
278,2,GOOGL,Stock,2022-07-06,BUY,10.871,1302.85,14163.28,Binance,Asia
279,9,DOGE,Crypto,2020-08-24,SELL,18.392,44887.06,825562.81,NYSE,Asia
280,13,LINK,Crypto,2022-03-29,SELL,31.904,14744.06,470394.49,NASDAQ,USA
281,16,USDC,Crypto,2024-08-02,SELL,26.166,51156.74,1338567.26,Binance,Asia
282,13,TSLA,Stock,2020-09-07,SELL,13.595,988.45,13437.98,Binance,USA
283,6,TSLA,Stock,2021-04-12,SELL,26.943,208.74,5624.08,Coinbase,Asia
284,9,BNB,Crypto,2021-12-02,SELL,22.108,53282.31,1177965.31,NASDAQ,Asia
285,6,LTC,Crypto,2022-10-26,BUY,24.976,22373.68,558805.03,Kraken,Asia
286,15,MSFT,Stock,2020-01-29,BUY,26.761,651.37,17431.31,Binance,Asia
287,8,BNB,Crypto,2023-01-08,BUY,43.375,51867.97,2249773.2,Coinbase,USA
288,10,USDC,Crypto,2021-08-27,SELL,32.548,5411.01,176117.55,NYSE,Asia
289,1,ETH,Crypto,2020-01-28,BUY,44.905,41077.16,1844569.87,Binance,Asia
290,2,GOOGL,Stock,2021-03-14,BUY,39.269,856.32,33626.83,NYSE,Asia
291,19,TRX,Crypto,2021-10-27,BUY,34.731,41673.83,1447373.79,NYSE,USA
292,1,XRP,Crypto,2022-12-13,SELL,15.356,19733.65,303029.93,Binance,Asia
293,19,DOGE,Crypto,2022-12-14,BUY,43.579,742.19,32343.9,Binance,USA
